userId,objectId,rating,timestamp
5,62,4.0,4.0
5,49,2.0,2.0
5,67,4.0,4.0
5,83,2.0,2.0
5,35,4.0,4.0
5,9,3.0,3.0
5,13,2.0,2.0
5,94,2.0,2.0
5,23,4.0,4.0
5,46,3.0,3.0
5,34,3.0,3.0
5,71,2.0,2.0
5,44,5.0,5.0
5,75,5.0,5.0
5,11,5.0,5.0
5,22,4.0,4.0
5,85,3.0,3.0
5,66,4.0,4.0
5,29,4.0,4.0
5,3,5.0,5.0
5,8,5.0,5.0
5,65,1.0,1.0
5,37,4.0,4.0
5,16,2.0,2.0
5,7,4.0,4.0
5,52,3.0,3.0
5,70,1.0,1.0
5,1,4.0,4.0
5,5,2.0,2.0
5,12,4.0,4.0
5,90,4.0,4.0
5,0,4.0,4.0
5,88,3.0,3.0
5,19,5.0,5.0
5,72,3.0,3.0
5,47,3.0,3.0
5,82,1.0,1.0
5,87,1.0,1.0
5,93,1.0,1.0
5,48,2.0,2.0
5,27,2.0,2.0
5,64,1.0,1.0
5,89,3.0,3.0
5,25,3.0,3.0
5,57,1.0,1.0
5,81,5.0,5.0
5,10,1.0,1.0
5,79,2.0,2.0
5,63,5.0,5.0
5,39,3.0,3.0
5,56,2.0,2.0
5,26,1.0,1.0
5,74,5.0,5.0
5,38,4.0,4.0
5,69,5.0,5.0
5,41,2.0,2.0
5,80,1.0,1.0
5,78,1.0,1.0
5,36,2.0,2.0
5,33,1.0,1.0
5,86,1.0,1.0
5,77,3.0,3.0
5,91,5.0,5.0
5,92,1.0,1.0
6,48,3.0,3.0
6,2,2.0,2.0
6,83,2.0,2.0
6,34,4.0,4.0
6,14,4.0,4.0
6,16,2.0,2.0
6,18,2.0,2.0
6,21,4.0,4.0
6,22,5.0,5.0
6,78,1.0,1.0
6,49,2.0,2.0
6,50,3.0,3.0
6,67,4.0,4.0
6,35,4.0,4.0
6,9,3.0,3.0
6,13,2.0,2.0
6,94,2.0,2.0
6,23,4.0,4.0
6,62,4.0,4.0
6,46,3.0,3.0
6,4,1.0,1.0
6,82,1.0,1.0
6,7,4.0,4.0
6,57,1.0,1.0
6,17,3.0,3.0
6,59,1.0,1.0
6,32,2.0,2.0
6,11,5.0,5.0
6,70,1.0,1.0
6,25,3.0,3.0
6,26,1.0,1.0
6,27,3.0,3.0
6,85,4.0,4.0
6,89,3.0,3.0
6,92,1.0,1.0
6,93,2.0,2.0
6,38,3.0,3.0
6,52,4.0,4.0
6,66,4.0,4.0
6,71,2.0,2.0
6,6,5.0,5.0
6,45,3.0,3.0
6,86,2.0,2.0
6,63,4.0,4.0
6,72,3.0,3.0
6,77,1.0,1.0
6,69,5.0,5.0
6,56,1.0,1.0
6,1,3.0,3.0
6,5,2.0,2.0
6,19,5.0,5.0
6,30,5.0,5.0
6,54,1.0,1.0
6,3,4.0,4.0
6,8,5.0,5.0
6,64,1.0,1.0
6,33,1.0,1.0
6,36,1.0,1.0
